solar_radiation,temperature,electric_price_unit
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.8,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.7,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.6,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.5,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.4,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.3,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.2,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
0.0,29.1,8.0
